title;url;description;related_games;genres;platforms;ign_score;ign_score_phrase;community_score;community_score_phrase;publisher;developers;rating_category;rating_content;release_date;price;review_link
Duke Nukem 64;http://www.ign.com/games/duke-nukem-3d/n64-85;"""Come get some!"" says bad boy Duke Nukem as you romp through the alien infested city of Los Angeles. Duke returns from a little vacation to save the City of Angels and destroy those scum bag aliens in this lead-packing sequel! You'll get more Duke one-liners and secret levels, such as multiplayer, which gives you the chance to blow all your friends away!  With all new weapons, more of the trademark Duke humor, and a soundtrack with bands such as Megadeath, this is one pistol packin' adventure that's high in testosterone and short on charm.";http://www.ign.com/games/goldeneye/n64-1991,http://www.ign.com/games/doom/n64-503,http://www.ign.com/games/perfect-dark/n64-3906,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;First-Person, Shooter;N64 Saturn Mac iPhone G.com GBA LCD GP32 Android Xbox 360 PC iPad Cell;8.0;Great;7.9;Good;GT Interactive;Eurocom;M for Mature;Blood, Gore, Animated Violence;Nov. 14, 1997;11.95 USD;http://ign64.ign.com/articles/150/150085p1.html
NBA Live '98;http://www.ign.com/games/nba-live-98/ps-2142;NBA LIVE '98 is an improvement over the previous year's version, as it features a host of new options. One of the most notable features that fans of the series will notice is that you can still create your own players, but now you can also create entire teams.  Icon Passing is a popular staple of the series, which allows you to pass the ball to a specific teammate. You can also choose from a complete playbook of offensive and defensive plays that can be called on the fly, which keeps the flow of the game intact. With regard to game modes, you'll find Exhibition games, Season mode, Playoffs, and a new 3-Point Shootout mode. TNT's own Verne Lundquist provides the play-by-play commentary, which helps put you right in the game. You can also take on a friend in the Versus mode to prove your hardwood supremacy.;http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Sports;PS Gen Saturn PC SNES;8.0;Great;8.0;Great;Electronic Arts;Electronic Arts;E for Everyone;No Descriptors;Nov 11, 1997;42.99 USD;http://psx.ign.com/articles/152/152142p1.html
Jet Moto 2;http://www.ign.com/games/jet-moto-2/ps-2068;Prepare for more futuristic racing action with JET MOTO 2. Jump onto a vehicle that is a cross between and hovercraft and a motorcycle, then get out on the track and practice using the grappling hook to make efficient, tight turns. Analog controllers are now supported for players who really want to get serious about racing, as well as 10 brand new tracks. The tracks allow you to speed river rapids, roller coasters, canyons, and a post-earthquake Los Angeles. If the tracks seem less crowded, it is because only 10 competitors are allowed on the track at once instead of 20. This keeps the emphasis on driving the track, not avoiding pile-ups. The racing of the future is available today with JET MOTO 2.;http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Racing;PS PSP PS3;7.0;Good;7.6;Good;Sony Computer Entertainment;Singletrac;E for Everyone;No Descriptors;November 1997;5.99 USD;http://psx.ign.com/articles/152/152068p1.html
Cool Boarders 2;http://www.ign.com/games/cool-boarders-2/ps-2035;"Imagine riding down the slopes, avoiding the trees and trying to hit the jumps. When you catch enough air, you grab your board, twist, and land a perfect 360 mute. All of the action and excitement of snowboarding comes to the PlayStation in Cool Boarders 2. Choose from seven different riders and 18 boards, then hit one of more than 10 courses to compete in freestyle mode, where the score is based on speed and tricks; or just concentrate on pulling off tricks in the big air and halfpipe modes. For those who want to test all of their skills, try the Competition mode and compete in all three events. When competition gets to be too much, try the unscored Board Park mode to practice all of your moves. If your friends think they get down the mountain better than you do, make them put their money where their mouth is with the Two-Player mode. All of the action in Cool Boarders 2 will keep boarding bums busy for days.";http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Extreme, Sports;PS PS3 PSP Android;7.2;Good;7.3;Good;Sony Computer Entertainment;UEP Systems;E for Everyone;No Descriptors;November 1997;24.99 USD;http://psx.ign.com/articles/152/152035p1.html
Time Crisis;http://www.ign.com/games/time-crisis/ps-2126;"The president's daughter has been kidnapped, and it's up to you to bring her back to safety in Namco's TIME CRISIS for the PlayStation. Armed with the highly accurate GunCon lightgun, you blast your way through tons of aggressive but clever enemies in a non-stop battle against the clock so you'd better brush up on your sharp-shooting skills. If you're too quick on the draw your shots will miss their intended targets; too slow and the clock will run out, ending your mission in disgrace. The unique ""duck and reload"" button is a welcome lifesaver just don't delay. The evil Kantaris is sending wave after wave of weapon-wielding baddies intent on taking you down. You can play in Arcade or Special mode, fight through a castle stronghold and an exclusive ritzy hotel, master one-shot kills, and (hopefully) rescue the girl. An exciting, action-packed blastfest awaits you in TIME CRISIS. Think you've got the skills to survive?";http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Action;PS Arcade;8.0;Great;8.0;Great;Namco;Namco;T for Teen;Animated Violence;Nov 11, 1997;57.99 USD;http://psx.ign.com/articles/152/152126p1.html
Maximum Force;http://www.ign.com/games/maximum-force/ps-2080;Grab your gun peripheral and get ready to use some terrorists as target practice in MAXIMUM FORCE. This title is the follow-up to the AREA 51 This time around, after the aliens have been dispatched, you find yourself part of an antiterrorist group. You (and a partner) must go through three levels loaded with bad guys just waiting to play catch with your bullets. The bad guys also fire back so you have to have a quick trigger finger, or else risk eating a bullet yourself. Gamers who spent their good money on a gun peripheral should note that this game supports most light guns, including the excellent Guncon. Throughout the levels you will be find power-ups that give you much-needed health or increase your weapon's power. This game supports dual play, and is also filled with mini-games, so Shooter fans will be in gun-fighting heaven with MAXIMUM FORCE.;http://www.ign.com/games/duke-nukem-total-meltdown/ps-2194,http://www.ign.com/games/jake2/ps-10446,http://www.ign.com/games/tom-clancys-rainbow-six/ps-12260,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Shooter;PS Arcade Saturn;5.0;Mediocre;6.9;Okay;Midway  Games;Mesa Logic, Midway  Games;M for Mature;Animated Blood, Animated Violence;Nov 17, 1997;51.99 USD;http://psx.ign.com/articles/152/152080p1.html
Treasures of the Deep;http://www.ign.com/games/treasures-of-the-deep/ps-2155;Prepare for underwater adventure with TREASURES OF THE DEEP from Black Ops. You are underwater explorer and ex-Navy Seal Jack Runyan, who is approached by the Underwater Mercenary Agency to carry out highly dangerous missions. The risks are great but the rewards are even greater. Choose from 12 missions in all parts of the globe, from the Great Barrier Reef to the Bermuda Triangle. Eight ships await your command start with an USN RV-1 mini-sub and trade up to the deadly Viper attack submarine.  An arsenal of underwater technology and weaponry aid you in your quest: steel-mesh wetsuits, night-vision goggles, homing torpedoes, and remote underwater robot vehicles are just some of the resources at your disposal. And you'll need each of them, as you must be prepared for the unknown dangers lurking in the deep. With breathtakingly realistic graphics showing an incredible diorama of undersea life and views of forgotten wrecks and Aztec ruins, TREASURES OF THE DEEP takes adventure to a new level deep sea level.;http://www.ign.com/games/silent-hill/ps-3982,http://www.ign.com/games/dino-crisis/ps-11235,http://www.ign.com/games/oddworld-abes-oddysee/ps-2094,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Adventure;PS PC;8.0;Great;8.1;Great;Namco;Black Ops;T for Teen;Animated Violence;Sep 9, 1997;50.99 USD;http://psx.ign.com/articles/152/152155p1.html
Discworld II: Mortality Bytes!;http://www.ign.com/games/discworld-ii-mortality-bytes/ps-2044;"Rincewind and the citizens of Discworld are back for another adventure in DISCWORLD II: Mortality Bytes! The Grim Reaper has suddenly taken a vacation; with Death out of the way, the inhabitants of Discworld cannot die in peace. In fact they can't die at all. Since he saved the world from a dragon, everyone looks to Rincewind to save Discworld again. This time he must find the Reaper and return everything to normal. Take control of Rincewind, who is now a librarian, and use a point-and-click interface to search for death. The 25,000 cells of hand-drawn animation will help bring the adventure to life. When dealing with the Reaper, you never know what's going to happen. Play DISCWORLD II: Mortality Bytes! and discover why Death takes a holiday.";http://www.ign.com/games/silent-hill/ps-3982,http://www.ign.com/games/dino-crisis/ps-11235,http://www.ign.com/games/oddworld-abes-oddysee/ps-2094,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Adventure;PS PC Saturn;6.0;Okay;7.9;Good;Psygnosis;Perfect Entertainment;T for Teen;Comic Mischief, Suggestive Themes;Nov 17, 1997;49.99 USD;http://psx.ign.com/articles/152/152044p1.html
Nuclear Strike;http://www.ign.com/games/nuclear-strike/ps-2140;In Nuclear Strike, you are an agent of Strike Team, an international special operations unit. The goal is to stop Colonel LeMonde, a former CIA Intelligence Officer, and his followers before they wage a nuclear war that would mean the end of the world. After stealing a nuclear weapon, the terrorists have fled deep into the lush jungles of Southeast Asia.You have more than 10 vehicles at your disposal, including jets, helicopters, tanks, and hovercraft. The different levels demand your skills as a tactician in order to accomplish each mission successfully. Optimal weapon selection, ammunition and fuel conservation, and POWs all play a part in your victory. The assault technique requires strategic use of the automatic target feature, the manual override, and left and right strafing buttons, among others. Destroy the evil terrorists and fight the good fight as you strive to save the world from total annihilation.;http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Action;PS N64 PS3 PSP PC;7.6;Good;7.6;Good;Electronic Arts;Electronic Arts;T for Teen;Animated Violence, Realistic Violence;Sep 1, 1997;27.99 USD;http://psx.ign.com/articles/152/152140p1.html
NHL FaceOff '98;http://www.ign.com/games/nhl-faceoff-98/ps-2088;NHL FACEOFF '98 contains all the basic features you've come to expect from a hockey game. All of 1998's 26 NHL teams are represented, and you'll find all the players as well. The season mode lets you take a team through a full schedule while you keep an eye on how the rest of the league is doing. Players can be traded from one team to another and created as well. This is Sony's first PlayStation hockey series, and graphically it's considered one of the best-looking hockey games ever to appear on the PlayStation. Up to eight human players can duke it out via a multitap.;http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Sports;PS;8.0;Great;7.9;Good;Sony Computer Entertainment;Killer Game;E for Everyone;Animated Violence;Nov 17, 1997;24.99 USD;http://psx.ign.com/articles/152/152088p1.html
NASCAR 98;http://www.ign.com/games/nascar-98/ps-2085;NASCAR ¿98 offers 16 tracks 10 of which are tracks on the real NASCAR circuit and 24 drivers, helping put you right in the middle of the action. On top of the healthy selection of tracks and drivers, you also get all the real sponsors, so you'll feel like you're watching a race on television rather than playing on your PlayStation. Even further enhancing the TV-style presentation are the multiple camera angles that perfectly mimic those you see on ESPN. The soundtrack of the game features pounding beats that will get your blood flowing and your adrenaline pumping as you race around the track at speeds in excess of 200 mph. With impressive graphics, pulse pumping music, and real tracks and drivers to choose from, NASCAR '98 is the ultimate game for racing fans.;http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Racing;PS Saturn;8.0;Great;7.9;Good;Electronic Arts;Electronic Arts;E for Everyone;No Descriptors;Nov 17, 1997;42.99 USD;http://psx.ign.com/articles/152/152085p1.html
MLB '98;http://www.ign.com/games/mlb-98/ps-2077;MLB '98 has the complete MLB license and features all the usual standards that belong in the dug-out: stat tracking, trade options, and our personal favorite, editing players. There is nothing better than putting yourself up to the plate against Randy Johnson - and hitting a homer. Many of the star players have signature stances and pitching wind-ups. In addition to that, while at the plate, the in-fielders will kick dirt away and hit their gloves. As opposed to pad-represented base throwing, MLB '98 uses a button-to-base throwing method. Pressing the triangle button to throw to second base, the X button to home, and so on.;http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Sports;PS;8.0;Great;7.6;Good;Sony Computer Entertainment;Sony Computer Entertainment;E for Everyone;No Descriptors;Nov 17, 1997;24.99 USD;http://psx.ign.com/articles/152/152077p1.html
Herc's Adventures;http://www.ign.com/games/hercs-adventures/ps-1858;Hades has kidnapped Persephone, the goddess of spring. Fearing that Greece will be stuck in a perpetual winter, Zeus calls upon the three heroes of ancient Greece Hercules, Atlanta, and Jason to save Persephone. After choosing a hero, the player must fight through 40 different environments on a quest to rescue Persephone. However, the characters have different strengths and weaknesses, and understanding the advantages that each character offers is essential to successfully completing the game. Should you get stuck in a particular area or on a particular puzzle, a friend can join the action with the two-player cooperative mode. As you progress through the game, hand-drawn animated sequences reveal more of the plot. Help the Greek heroes save the world from perpetual winter in HERC'S ADVENTURES.;http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Action;PS Saturn Vita PS3 PSP;6.0;Okay;7.7;Good;LucasArts;LucasArts;E for Everyone;Comic Mischief, Mild Animated Violence;May 26, 1997;45.99 USD;http://psx.ign.com/articles/151/151858p1.html
Syndicate Wars;http://www.ign.com/games/syndicate-wars/ps-534;In the future, two business syndicates are vying for control of the world: Eurocorp and Church of the New Epoch. To gain control, you will have to assassinate rivals, persuade neutral groups to join you, and destroy buildings and bases with a squad of cyborgs. In all of the tasks, you will take control of a team of four cyborgs that must be armed with a wide variety of weapons. Depending on the objective, there are a number of tactics to use. Since all of the missions are expensive, you must steal resources to keep your squad going. See if you can take over the world in Syndicate Wars.;http://www.ign.com/games/jake2/ps-10446,http://www.ign.com/games/duke-nukem-total-meltdown/ps-2194,http://www.ign.com/games/tom-clancys-rainbow-six/ps-12260,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Shooter;PS PSP PC PS3;5.0;Mediocre;7.2;Good;Electronic Arts;Bullfrog Productions;T for Teen;Blood, Animated Violence;Sep 1, 1996;50.99 USD;http://psx.ign.com/articles/150/150534p1.html
Dark Rift;http://www.ign.com/games/dark-rift/n64-1954;"In DARK RIFT the action is never predictable as you jump into battle as one of a wide variety of characters, including Aaron Maverick, a human military expert armed with an MFG-16 blaster; Demonica Gkroux, an alien with flaming breath; Eve, an android trained in fencing; and Zenmuron, a mysterious warrior carrying a samurai blade. DARK RIFT is an all-out fighting game over pieces of the ancient Master Key, which grants ultimate control over an alternate dimension of unimaginable power. If the pieces of the Master Key are combined, it will open the Vortex a place where the secrets of the universe can finally be revealed. With three play modes Tournament, Two-Player, and Practice you can start at your skill level to defeat the 10 challenging characters. You can utilize either the analog control or the pad to execute moves like blocks, grab attacks, body slams, and special attacks.";http://www.ign.com/games/super-smash-bros/n64-10494,http://www.ign.com/games/mortal-kombat-trilogy/n64-454,http://www.ign.com/games/mortal-kombat-4/n64-1912,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;Fighting;N64 PC;5.4;Mediocre;5.6;Mediocre;Vic Tokai;Kronos Digital Entertainment Inc.;T for Teen;Animated Violence;July 07, 1997;79.99 USD;http://ign64.ign.com/articles/151/151954p1.html
Hercules;http://www.ign.com/games/hercules/ps-2045;The action and excitement of Disney's film version of HERCULES comes to the PlayStation. Take control of the mortal son of Zeus as he tries to go from zero to hero and rescue the woman he loves. Have Hercules run, jump, and fight his way through level after level of bad guys. Whether it is by picking up boulders to dispatch enemies or knocking obstacles out of the way, Herc must interact with the environments. While the game looks 2D, Hercules can move along the z-axis, giving the game 3D play mechanics. With graphics that look like the movie and voice work by James Woods and Danny DeVito, you will think that you are watching the movie. Only you can help the future Olympian gain fame, save the world, and save the girl in HERCULES.;http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Action;PS PC GB PS3 PSP;6.0;Okay;7.1;Good;Virgin Interactive;Eurocom;E for Everyone;Animated Violence;Nov 17, 1997;36.99 USD;http://psx.ign.com/articles/152/152045p1.html
Battlesport;http://www.ign.com/games/battlesport-805676/ps-320;Your objective is to capture the ball with your tank and shoot it in the enemy goal. Sounds pretty easy, right? Think again. BATTLE SPORT offers 50 huge arenas, each very different from the next. You can shoot your opponents and drain their tank's energy in order to slow them down and steal the ball. Watch out though, because they can do it to you, as well. All the arenas and tanks are mapped with stunning textures, giving them a very nice effect. Each of the five available tanks has its own ratings for each of the following categories: top speed, acceleration, firepower, armor, cornering, ball handling, and more. With the money you gain from beating your opponents, you can buy special weapons and add-on items to upgrade your tank into the ultimate scoring machine. BATTLE SPORT is the extreme sport of the future are you ready?;http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Action;PS Saturn;6.0;Okay;;;Acclaim Entertainment;Acclaim Entertainment;;;Nov 1, 1996;42.99 USD;http://psx.ign.com/articles/150/150320p1.html
Darklight Conflict;http://www.ign.com/games/darklight-conflict/ps-2041;"DARKLIGHT CONFLICT casts you in the role of the best fighter pilot on Earth, who is suddenly abducted by aliens. They want you to fly a space fighter and help them defeat their enemies; however, there is more to this than meets the eye. Take control of a fighter, bomber, and gunship as you use guns, missiles, and bombs to blast the bad guys into the vacuum of space in over 50 action-packed missions. If dealing with a plot is not your style of gaming, play the Arcade mode where you will face wave after wave of enemy ships. See how long you can survive while enjoying the brilliant graphics. Are the aliens that abducted you just peaceful space citizens or are they something more sinister? Play DARKLIGHT CONFLICT and the truth will be revealed.";http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Action;PS PC Saturn;7.0;Good;6.4;Okay;Electronic Arts;Rage Software;E for Everyone;Animated Violence;Nov 17, 1997;50.99 USD;http://psx.ign.com/articles/152/152041p1.html
Dynasty Warriors;http://www.ign.com/games/dynasty-warriors-806701/ps-2047;KOEI enters the realm of fighters with DYNASTY WARRIORS, where every element of the game is realistic. Choose from over 10 warriors with unique weapons and moves from the three dynasties of third-century China. Rather than having 20-hit combinations, players can only get in three hits in a row. Adding even more realism, players can either block attacks or parry them for a quick counter. To make all of the playable characters look real, each one is constructed from 600 texture-mapped and shaded polygons. Every model uses motion capture technology running at 60 frames per second to make the movements as fluid as possible. Along with the realism, there is a large number of play modes: story, practice, time trial, endurance, team battles, and tournaments that can have up to eight human-controlled fighters. DYNASTY WARRIORS brings realistic weapons-based fighting to the PlayStation.;http://www.ign.com/games/street-fighter-alpha/ps-181,http://www.ign.com/games/digimon-world-2/ps-16355,http://www.ign.com/games/tekken-3/ps-2294,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Fighting;PS;7.8;Good;7.2;Good;Koei;Omega Force;T for Teen;Animated Blood and Gore, Animated Violence;Nov 17, 1997;24.99 USD;http://psx.ign.com/articles/152/152047p1.html
F1 Pole Position 64;http://www.ign.com/games/f1-pole-position-64/n64-1977;Based on the Japanese racing game Human Grand Prix, this FIA licensed variation adds real drivers and tracks to the mix.;http://www.ign.com/games/mario-kart-64/n64-502,http://www.ign.com/games/diddy-kong-racing/n64-2146,http://www.ign.com/games/f-zero-x/n64-418,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;Racing;N64;4.1;Bad;5.6;Mediocre;Ubisoft;Human Entertainment;E for Everyone;;Oct. 15, 1997;47.99 USD;http://ign64.ign.com/articles/151/151977p1.html
Madden Football 64;http://www.ign.com/games/madden-football-64/n64-2196;EA Sports continues the bone-crunching NFL action with MADDEN FOOTBALL 64, part of its option-laden football series. You'll find offensive and defensive maneuvers at your fingertips, along with a user-friendly playbook. Put yourself in control of a franchise by signing and trading players, placing salary caps, and setting the playoff ladders of up to 16 teams. Thanks to a license from the NFL Players Association, you'll recognize all the current stars of the gridiron. You can also match today's stars against classic great teams of the past! Your team will face a variety of game situations: day or night, rain or shine. Along with expert commentary by Pat Summerall and John Madden, MADDEN FOOTBALL 64 gives you the highly-detailed graphics and playability you demand.  View the game from eight camera angles, substitute players, and select from three skill levels. MADDEN FOOTBALL 64 will challenge you with the realities of pro football, but with the easy control you expect from Nintendo.;http://www.ign.com/games/tony-hawks-pro-skater-2/n64-14169,http://www.ign.com/games/mario-golf/n64-10628,http://www.ign.com/games/international-superstar-soccer-2000/n64-15240,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;Sports;N64 Saturn Gen SNES PS PC;7.8;Good;7.2;Good;Electronic Arts;EA Tiburon;E for Everyone;;Oct. 24, 1997;19.99 USD;http://ign64.ign.com/articles/152/152196p1.html
1080° Snowboarding;http://www.ign.com/games/1080-snowboarding/n64-2225;Hit the slopes for some serious shredding in one of the first truly realistic snowboarding games ever created! Start in the lodge and select from five characters, each with his/her own particular attributes and special tricks. Then take a look at the wide assortment of available boards and choose one that best suits your rider and style. Once you've got the gear, six different modes of play, including Match Race, Trick Attack, and Two-Player Versus awaits. Pick a course and get ready to experience a sensation of speed that'll make you forget all about the cold -- but it might just send a shiver down your spine. Throw in hidden characters and boards, varying weather and snow conditions, multiple paths through each course, and a variety of tricks to master -- topped off with rock-solid play control -- and you've got a recipe for winter fun that you can enjoy any time of the year. It's all the fun and excitement of the sport, without the bruises and frostbite!;http://www.ign.com/games/tony-hawks-pro-skater-2/n64-14169,http://www.ign.com/games/mario-golf/n64-10628,http://www.ign.com/games/international-superstar-soccer-2000/n64-15240,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;Extreme Sports, Sports;N64 Wii U Wii;8.6;Great;8.4;Great;Nintendo;Nintendo EAD;E for Everyone;;April 1, 1998;47.99 USD;http://ign64.ign.com/articles/152/152225p1.html
San Francisco Rush: Extreme Racing;http://www.ign.com/games/san-francisco-rush-extreme-racing/ps-3725;"Careen through the ""City by the Bay"" at breakneck speeds as you find shortcuts, brave makeshift ramps, and uncover a myriad of secrets. Based on the groundbreaking coin-operated favorite, HARD DRIVIN', this update lives up to the reputation of the original. Experience eight unique racecars as you take to six different tracks, searching for alternate routes in order to get the best of your foes. Virtually everything is customizable here: you can select the total number of laps in each race, the number of opponents you'll face, and whether the course should be standard, reversed, or mirrored. Not only that, you choose weather conditions, difficulty level, and which gauges you'll be able to see you might rather have an uncluttered screen than access to your RPMs. All of these options certainly give the game as high a replay value as possible, and the obstacles are always different adding even more to the enjoyment factor. The game also has a dual-player mode in which you square off head-to-head with a friend (or enemy). If fast cars and cutthroat strategizing are your idea of a good time, get ready for the ride of your life.";http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Racing;PS Arcade GBC N64;5.0;Mediocre;5.5;Mediocre;Midway  Games;Climax Studios;E for Everyone;;Apr 2, 1998;27.99 USD;http://psx.ign.com/articles/153/153725p1.html
Judge Dredd;http://www.ign.com/games/judge-dredd-14213549/ps-2326;In the 22nd century, the Earth's population has concentrated into vast urban areas where crime runs rampant. The police, juries, and trials do not exist there are only judges. Their only duty is to bring justice, and their only weapon is the Lawgiver, a gun that can fire armor piercing, heat-seeking, and high explosive rounds. In this bleak future, Tech Judge Bean has escaped from prison and is out for revenge. The only person who can stop him is the man who put him away, Judge Dredd. Plug in a light gun and travel through 16 city levels battling Bean's army of androids as Dredd prepares the deliver the ultimate punishment, a death sentence. To make the task a little easier, power ups like Rapid Fire are scattered throughout the levels. Play Judge Dredd and help him execute the law.;http://www.ign.com/games/jake2/ps-10446,http://www.ign.com/games/duke-nukem-total-meltdown/ps-2194,http://www.ign.com/games/tom-clancys-rainbow-six/ps-12260,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Shooter;PS PSP PS3;2.0;Painful;4.2;Bad;Activision;Gremlin Interactive Limited;T for Teen;Animated Violence;March 31, 1998;45.99 USD;http://psx.ign.com/articles/152/152326p1.html
